Stationid,Stationname En,Exitid,short name,Exitposition Positionlon,Exitposition Positionlat,layer,stationid,exitid,groovy code,,"exit """
0990,Nangang,North Exit,NorthExit,121.60706,25.05348,,TaiwanStation_NanGangNangang,TaiwanStation_NanGangNangang_ENorthExit,"exit ""TaiwanStation_NanGangNangang_ENorthExit"" with { short_name ""NorthExit"" coords { lat 121.60706; lon 25.05348 } layer 0 }",,""" with { short_name """
0990,Nangang,South Exit,SouthExit,121.60641,25.05283,,TaiwanStation_NanGangNangang,TaiwanStation_NanGangNangang_ESouthExit,"exit ""TaiwanStation_NanGangNangang_ESouthExit"" with { short_name ""SouthExit"" coords { lat 121.60641; lon 25.05283 } layer 0 }",,""" coords { lat"
1000,Taipei,East 1,East1,121.51793,25.04811,,TaiwanStation_TaiBeiCheZhanTaipeiMainStation,TaiwanStation_TaiBeiCheZhanTaipeiMainStation_EEast1,"exit ""TaiwanStation_TaiBeiCheZhanTaipeiMainStation_EEast1"" with { short_name ""East1"" coords { lat 121.51793; lon 25.04811 } layer 0 }",,; lon
1000,Taipei,East 2,East2,121.51784,25.04771,,TaiwanStation_TaiBeiCheZhanTaipeiMainStation,TaiwanStation_TaiBeiCheZhanTaipeiMainStation_EEast2,"exit ""TaiwanStation_TaiBeiCheZhanTaipeiMainStation_EEast2"" with { short_name ""East2"" coords { lat 121.51784; lon 25.04771 } layer 0 }",, } layer
1000,Taipei,East 3,East3,121.51775,25.04731,,TaiwanStation_TaiBeiCheZhanTaipeiMainStation,TaiwanStation_TaiBeiCheZhanTaipeiMainStation_EEast3,"exit ""TaiwanStation_TaiBeiCheZhanTaipeiMainStation_EEast3"" with { short_name ""East3"" coords { lat 121.51775; lon 25.04731 } layer 0 }",,}
1000,Taipei,North 1,North1,121.51766,25.04823,,TaiwanStation_TaiBeiCheZhanTaipeiMainStation,TaiwanStation_TaiBeiCheZhanTaipeiMainStation_ENorth1,"exit ""TaiwanStation_TaiBeiCheZhanTaipeiMainStation_ENorth1"" with { short_name ""North1"" coords { lat 121.51766; lon 25.04823 } layer 0 }",,
1000,Taipei,North 2,North2,121.51724,25.04831,,TaiwanStation_TaiBeiCheZhanTaipeiMainStation,TaiwanStation_TaiBeiCheZhanTaipeiMainStation_ENorth2,"exit ""TaiwanStation_TaiBeiCheZhanTaipeiMainStation_ENorth2"" with { short_name ""North2"" coords { lat 121.51724; lon 25.04831 } layer 0 }",,
1000,Taipei,North 3,North3,121.51683,25.04837,,TaiwanStation_TaiBeiCheZhanTaipeiMainStation,TaiwanStation_TaiBeiCheZhanTaipeiMainStation_ENorth3,"exit ""TaiwanStation_TaiBeiCheZhanTaipeiMainStation_ENorth3"" with { short_name ""North3"" coords { lat 121.51683; lon 25.04837 } layer 0 }",,
1000,Taipei,South 1,South1,121.51744,25.04711,,TaiwanStation_TaiBeiCheZhanTaipeiMainStation,TaiwanStation_TaiBeiCheZhanTaipeiMainStation_ESouth1,"exit ""TaiwanStation_TaiBeiCheZhanTaipeiMainStation_ESouth1"" with { short_name ""South1"" coords { lat 121.51744; lon 25.04711 } layer 0 }",,
1000,Taipei,South 2,South2,121.51698,25.04719,,TaiwanStation_TaiBeiCheZhanTaipeiMainStation,TaiwanStation_TaiBeiCheZhanTaipeiMainStation_ESouth2,"exit ""TaiwanStation_TaiBeiCheZhanTaipeiMainStation_ESouth2"" with { short_name ""South2"" coords { lat 121.51698; lon 25.04719 } layer 0 }",,
1000,Taipei,South 3,South3,121.51652,25.04726,,TaiwanStation_TaiBeiCheZhanTaipeiMainStation,TaiwanStation_TaiBeiCheZhanTaipeiMainStation_ESouth3,"exit ""TaiwanStation_TaiBeiCheZhanTaipeiMainStation_ESouth3"" with { short_name ""South3"" coords { lat 121.51652; lon 25.04726 } layer 0 }",,
1000,Taipei,West 1,West1,121.51635,25.04821,,TaiwanStation_TaiBeiCheZhanTaipeiMainStation,TaiwanStation_TaiBeiCheZhanTaipeiMainStation_EWest1,"exit ""TaiwanStation_TaiBeiCheZhanTaipeiMainStation_EWest1"" with { short_name ""West1"" coords { lat 121.51635; lon 25.04821 } layer 0 }",,
1000,Taipei,West 2,West2,121.51629,25.04788,,TaiwanStation_TaiBeiCheZhanTaipeiMainStation,TaiwanStation_TaiBeiCheZhanTaipeiMainStation_EWest2,"exit ""TaiwanStation_TaiBeiCheZhanTaipeiMainStation_EWest2"" with { short_name ""West2"" coords { lat 121.51629; lon 25.04788 } layer 0 }",,
1000,Taipei,West 3,West3,121.51622,25.04755,,TaiwanStation_TaiBeiCheZhanTaipeiMainStation,TaiwanStation_TaiBeiCheZhanTaipeiMainStation_EWest3,"exit ""TaiwanStation_TaiBeiCheZhanTaipeiMainStation_EWest3"" with { short_name ""West3"" coords { lat 121.51622; lon 25.04755 } layer 0 }",,
1010,Banqiao,East 1,East1,121.46382,25.01484,,TaiwanStation_BanQiaoBanqiao,TaiwanStation_BanQiaoBanqiao_EEast1,"exit ""TaiwanStation_BanQiaoBanqiao_EEast1"" with { short_name ""East1"" coords { lat 121.46382; lon 25.01484 } layer 0 }",,
